,country,Date,t_3,t_2,t_1,arrival
0,1,31/12/2013,162.28,147.27,171.63,179.31
1,1,31/12/2014,147.27,171.63,179.31,178.31
2,1,31/12/2015,171.63,179.31,178.31,176.86
3,1,31/12/2016,179.31,178.31,176.86,175.26
4,1,31/12/2017,178.31,176.86,175.26,174.29
5,1,31/12/2018,176.86,175.26,174.29,169.32
6,1,31/12/2019,175.26,174.29,169.32,166.01
7,2,31/12/2013,52.68,99.19,98.13,103.23
8,2,31/12/2014,99.19,98.13,103.23,107.14
9,2,31/12/2015,98.13,103.23,107.14,109.83
10,2,31/12/2016,103.23,107.14,109.83,115.56
11,2,31/12/2017,107.14,109.83,115.56,121.72
12,2,31/12/2018,109.83,115.56,121.72,124.46
13,2,31/12/2019,115.56,121.72,124.46,126.17
14,3,31/12/2013,81.95,75.73,76.75,78.1
15,3,31/12/2014,75.73,76.75,78.1,81.04
16,3,31/12/2015,76.75,78.1,81.04,87.13
17,3,31/12/2016,78.1,81.04,87.13,94.85
18,3,31/12/2017,81.04,87.13,94.85,99.35
19,3,31/12/2018,87.13,94.85,99.35,96.5
20,3,31/12/2019,94.85,99.35,96.5,97.41
21,4,31/12/2013,76.6,80.5,82.0,83.6
22,4,31/12/2014,80.5,82.0,83.6,83.7
23,4,31/12/2015,82.0,83.6,83.7,84.5
24,4,31/12/2016,83.6,83.7,84.5,82.7
25,4,31/12/2017,83.7,84.5,82.7,86.8
26,4,31/12/2018,84.5,82.7,86.8,89.3
27,4,31/12/2019,82.7,86.8,89.3,83.3
28,5,31/12/2013,73.23,75.87,76.29,76.76
29,5,31/12/2014,75.87,76.29,76.76,77.69
30,5,31/12/2015,76.29,76.76,77.69,81.07
31,5,31/12/2016,76.76,77.69,81.07,84.93
32,5,31/12/2017,77.69,81.07,84.93,89.93
33,5,31/12/2018,81.07,84.93,89.93,93.23
34,5,31/12/2019,84.93,89.93,93.23,94.0
35,6,31/12/2013,58.34,60.75,67.39,72.31
36,6,31/12/2014,60.75,67.39,72.31,73.75
37,6,31/12/2015,67.39,72.31,73.75,77.74
38,6,31/12/2016,72.31,73.75,77.74,80.48
39,6,31/12/2017,73.75,77.74,80.48,83.8
40,6,31/12/2018,77.74,80.48,83.8,85.95
41,6,31/12/2019,80.48,83.8,85.95,88.52
42,7,31/12/2013,49.01,49.97,47.19,48.35
43,7,31/12/2014,49.97,47.19,48.35,51.17
44,7,31/12/2015,47.19,48.35,51.17,55.86
45,7,31/12/2016,48.35,51.17,55.86,57.59
46,7,31/12/2017,51.17,55.86,57.59,59.24
47,7,31/12/2018,55.86,57.59,59.24,57.67
48,7,31/12/2019,57.59,59.24,57.67,60.02
49,8,31/12/2013,39.9,41.3,43.57,43.61
50,8,31/12/2014,41.3,43.57,43.61,45.98
51,8,31/12/2015,43.57,43.61,45.98,48.35
52,8,31/12/2016,43.61,45.98,48.35,52.89
53,8,31/12/2017,45.98,48.35,52.89,54.96
54,8,31/12/2018,48.35,52.89,54.96,57.67
55,8,31/12/2019,52.89,54.96,57.67,61.4
56,9,31/12/2013,31.36,36.77,37.72,39.86
57,9,31/12/2014,36.77,37.72,39.86,41.63
58,9,31/12/2015,37.72,39.86,41.63,41.11
59,9,31/12/2016,39.86,41.63,41.11,30.91
60,9,31/12/2017,41.63,41.11,30.91,37.97
61,9,31/12/2018,41.11,30.91,37.97,46.11
62,9,31/12/2019,30.91,37.97,46.11,51.75
63,10,31/12/2013,30.4,31.89,32.22,33.57
64,10,31/12/2014,31.89,32.22,33.57,35.34
65,10,31/12/2015,32.22,33.57,35.34,36.79
66,10,31/12/2016,33.57,35.34,36.79,39.13
67,10,31/12/2017,35.34,36.79,39.13,41.08
68,10,31/12/2018,36.79,39.13,41.08,40.28
69,10,31/12/2019,39.13,41.08,40.28,40.86
70,11,31/12/2013,26.88,28.37,30.41,31.55
71,11,31/12/2014,28.37,30.41,31.55,33.0
72,11,31/12/2015,30.41,31.55,33.0,34.97
73,11,31/12/2016,31.55,33.0,34.97,35.56
74,11,31/12/2017,33.0,34.97,35.56,37.45
75,11,31/12/2018,34.97,35.56,37.45,38.88
76,11,31/12/2019,35.56,37.45,38.88,39.56
77,12,31/12/2013,15.94,19.23,22.35,26.55
78,12,31/12/2014,19.23,22.35,26.55,24.81
79,12,31/12/2015,22.35,26.55,24.81,29.92
80,12,31/12/2016,26.55,24.81,29.92,32.53
81,12,31/12/2017,24.81,29.92,32.53,35.59
82,12,31/12/2018,29.92,32.53,35.59,38.18
83,12,31/12/2019,32.53,35.59,38.18,39.92
84,13,31/12/2013,26.73,25.81,26.4,26.52
85,13,31/12/2014,25.81,26.4,26.52,28.07
86,13,31/12/2015,26.4,26.52,28.07,28.21
87,13,31/12/2016,26.52,28.07,28.21,28.69
88,13,31/12/2017,28.07,28.21,28.69,30.74
89,13,31/12/2018,28.21,28.69,30.74,30.8
90,13,31/12/2019,28.69,30.74,30.8,32.9
91,14,31/12/2013,25.62,25.07,25.32,25.17
92,14,31/12/2014,25.07,25.32,25.17,25.56
93,14,31/12/2015,25.32,25.17,25.56,27.56
94,14,31/12/2016,25.17,25.56,27.56,30.14
95,14,31/12/2017,25.56,27.56,30.14,31.08
96,14,31/12/2018,27.56,30.14,31.08,31.27
97,14,31/12/2019,30.14,31.08,31.27,32.43
98,15,31/12/2013,26.13,27.11,27.19,26.29
99,15,31/12/2014,27.11,27.19,26.29,26.36
100,15,31/12/2015,27.19,26.29,26.36,25.99
101,15,31/12/2016,26.29,26.36,25.99,28.15
102,15,31/12/2017,26.36,25.99,28.15,29.17
103,15,31/12/2018,25.99,28.15,29.17,30.54
104,15,31/12/2019,28.15,29.17,30.54,27.44
105,16,31/12/2013,22.28,24.93,28.18,30.79
106,16,31/12/2014,24.93,28.18,30.79,32.42
107,16,31/12/2015,28.18,30.79,32.42,33.73
108,16,31/12/2016,30.79,32.42,33.73,24.57
109,16,31/12/2017,32.42,33.73,24.57,24.39
110,16,31/12/2018,33.73,24.57,24.39,24.55
111,16,31/12/2019,24.57,24.39,24.55,24.42
112,17,31/12/2013,22.0,23.01,24.15,24.81
113,17,31/12/2014,23.01,24.15,24.81,25.29
114,17,31/12/2015,24.15,24.81,25.29,26.73
115,17,31/12/2016,24.81,25.29,26.73,28.12
116,17,31/12/2017,25.29,26.73,28.12,29.46
117,17,31/12/2018,26.73,28.12,29.46,30.82
118,17,31/12/2019,28.12,29.46,30.82,31.88
119,18,31/12/2013,24.58,24.71,25.03,25.72
120,18,31/12/2014,24.71,25.03,25.72,27.44
121,18,31/12/2015,25.03,25.72,27.44,25.72
122,18,31/12/2016,25.72,27.44,25.72,26.76
123,18,31/12/2017,27.44,25.72,26.76,25.95
124,18,31/12/2018,25.72,26.76,25.95,25.83
125,18,31/12/2019,26.76,25.95,25.83,26.1
126,19,31/12/2013,15.01,16.43,15.52,20.11
127,19,31/12/2014,16.43,15.52,20.11,24.27
128,19,31/12/2015,15.52,20.11,24.27,26.11
129,19,31/12/2016,20.11,24.27,26.11,28.07
130,19,31/12/2017,24.27,26.11,28.07,30.16
131,19,31/12/2018,26.11,28.07,30.16,33.07
132,19,31/12/2019,28.07,30.16,33.07,34.01
133,20,31/12/2013,19.32,19.32,19.32,19.32
134,20,31/12/2014,19.32,19.32,19.32,16.23
135,20,31/12/2015,19.32,19.32,16.23,17.47
136,20,31/12/2016,19.32,16.23,17.47,18.97
137,20,31/12/2017,16.23,17.47,18.97,20.39
138,20,31/12/2018,17.47,18.97,20.39,21.29
139,20,31/12/2019,18.97,20.39,21.29,21.55
140,21,31/12/2013,13.03,15.78,19.85,19.93
141,21,31/12/2014,15.78,19.85,19.93,23.01
142,21,31/12/2015,19.85,19.93,23.01,21.83
143,21,31/12/2016,19.93,23.01,21.83,20.89
144,21,31/12/2017,23.01,21.83,20.89,18.61
145,21,31/12/2018,21.83,20.89,18.61,17.57
146,21,31/12/2019,20.89,18.61,17.57,20.29
147,22,31/12/2013,8.6,6.2,8.3,10.3
148,22,31/12/2014,6.2,8.3,10.3,13.4
149,22,31/12/2015,8.3,10.3,13.4,19.7
150,22,31/12/2016,10.3,13.4,19.7,24.0
151,22,31/12/2017,13.4,19.7,24.0,28.7
152,22,31/12/2018,19.7,24.0,28.7,31.2
153,22,31/12/2019,24.0,28.7,31.2,31.88
154,23,31/12/2013,21.2,24.54,25.06,26.03
155,23,31/12/2014,24.54,25.06,26.03,13.23
156,23,31/12/2015,25.06,26.03,13.23,13.03
157,23,31/12/2016,26.03,13.23,13.03,13.73
158,23,31/12/2017,13.23,13.03,13.73,14.58
159,23,31/12/2018,13.03,13.73,14.58,14.34
160,23,31/12/2019,13.73,14.58,14.34,13.71
161,24,31/12/2013,12.2,12.9,15.1,15.4
162,24,31/12/2014,12.9,15.1,15.4,15.6
163,24,31/12/2015,15.1,15.4,15.6,17.2
164,24,31/12/2016,15.4,15.6,17.2,18.4
165,24,31/12/2017,15.6,17.2,18.4,20.0
166,24,31/12/2018,17.2,18.4,20.0,21.2
167,24,31/12/2019,18.4,20.0,21.2,22.0
168,25,31/12/2013,11.64,13.17,14.5,15.57
169,25,31/12/2014,13.17,14.5,15.57,15.1
170,25,31/12/2015,14.5,15.57,15.1,15.23
171,25,31/12/2016,15.57,15.1,15.23,16.4
172,25,31/12/2017,15.1,15.23,16.4,17.43
173,25,31/12/2018,15.23,16.4,17.43,18.51
174,25,31/12/2019,16.4,17.43,18.51,19.12
175,26,31/12/2013,10.88,11.3,11.68,12.78
176,26,31/12/2014,11.3,11.68,12.78,13.93
177,26,31/12/2015,11.68,12.78,13.93,15.01
178,26,31/12/2016,12.78,13.93,15.01,15.83
179,26,31/12/2017,13.93,15.01,15.83,17.92
180,26,31/12/2018,15.01,15.83,17.92,18.78
181,26,31/12/2019,15.83,17.92,18.78,20.13
182,27,31/12/2013,8.07,12.1,13.07,14.32
183,27,31/12/2014,12.1,13.07,14.32,14.53
184,27,31/12/2015,13.07,14.32,14.53,13.95
185,27,31/12/2016,14.32,14.53,13.95,15.12
186,27,31/12/2017,14.53,13.95,15.12,14.98
187,27,31/12/2018,13.95,15.12,14.98,15.0
188,27,31/12/2019,15.12,14.98,15.0,14.8
189,28,31/12/2013,8.8,9.8,11.14,12.18
190,28,31/12/2014,9.8,11.14,12.18,14.2
191,28,31/12/2015,11.14,12.18,14.2,13.23
192,28,31/12/2016,12.18,14.2,13.23,17.24
193,28,31/12/2017,14.2,13.23,17.24,13.34
194,28,31/12/2018,13.23,17.24,13.34,15.35
195,28,31/12/2019,17.24,13.34,15.35,17.5
196,29,31/12/2013,6.76,7.26,7.5,9.18
197,29,31/12/2014,7.26,7.5,9.18,10.5
198,29,31/12/2015,7.5,9.18,10.5,11.72
199,29,31/12/2016,9.18,10.5,11.72,13.36
200,29,31/12/2017,10.5,11.72,13.36,15.43
201,29,31/12/2018,11.72,13.36,15.43,16.19
202,29,31/12/2019,13.36,15.43,16.19,17.17
203,30,31/12/2013,7.0,7.65,8.04,8.8
204,30,31/12/2014,7.65,8.04,8.8,9.44
205,30,31/12/2015,8.04,8.8,9.44,10.41
206,30,31/12/2016,8.8,9.44,10.41,11.52
207,30,31/12/2017,9.44,10.41,11.52,14.04
208,30,31/12/2018,10.41,11.52,14.04,15.81
209,30,31/12/2019,11.52,14.04,15.81,16.11
210,31,31/12/2013,9.75,9.78,9.83,10.35
211,31,31/12/2014,9.78,9.83,10.35,10.51
212,31,31/12/2015,9.83,10.35,10.51,10.54
213,31,31/12/2016,10.35,10.51,10.54,10.68
214,31,31/12/2017,10.51,10.54,10.68,11.54
215,31,31/12/2018,10.54,10.68,11.54,12.49
216,31,31/12/2019,10.68,11.54,12.49,13.11
217,32,31/12/2013,14.05,9.85,11.53,9.46
218,32,31/12/2014,9.85,11.53,9.46,9.88
219,32,31/12/2015,11.53,9.46,9.88,9.33
220,32,31/12/2016,9.46,9.88,9.33,5.4
221,32,31/12/2017,9.88,9.33,5.4,8.29
222,32,31/12/2018,9.33,5.4,8.29,11.35
223,32,31/12/2019,5.4,8.29,11.35,13.03
224,33,31/12/2013,11.95,6.73,8.06,9.16
225,33,31/12/2014,6.73,8.06,9.16,10.45
226,33,31/12/2015,8.06,9.16,10.45,9.67
227,33,31/12/2016,9.16,10.45,9.67,10.16
228,33,31/12/2017,10.45,9.67,10.16,11.37
229,33,31/12/2018,9.67,10.16,11.37,12.05
230,33,31/12/2019,10.16,11.37,12.05,11.06
231,34,31/12/2013,6.05,8.71,8.87,9.19
232,34,31/12/2014,8.71,8.87,9.19,9.41
233,34,31/12/2015,8.87,9.19,9.41,9.32
234,34,31/12/2016,9.19,9.41,9.32,10.6
235,34,31/12/2017,9.41,9.32,10.6,11.6
236,34,31/12/2018,9.32,10.6,11.6,12.37
237,34,31/12/2019,10.6,11.6,12.37,12.55
